USA,"110,818,155","1,194,100                                "
India,"45,025,605","533,448                                "
France,"40,138,560","167,642                                "
Germany,"38,808,771","181,845                                "
Brazil,"38,303,320","709,195                                "
S. Korea,"34,571,873","35,934                                "
Japan,"33,803,572","74,694                                "
Italy,"26,707,734","195,955                                "
UK,"24,885,790","232,112                                "
Russia,"23,875,738","401,945                                "
Turkey,"17,232,066","102,174                                "
Spain,"13,914,811","121,760                                "
Australia,"11,754,909","24,073                                "
Vietnam,"11,624,114","43,206                                "
Taiwan,"10,241,523","19,005                                "
Argentina,"10,081,076","130,699                                "
Netherlands,"8,633,235","22,992                                "
Mexico,"7,702,809","334,958                                "
Iran,"7,625,812","146,767                                "
Indonesia,"6,826,664","161,954                                "
Poland,"6,654,829","120,487                                "
Colombia,"6,390,565","143,138                                "
Greece,"6,101,379","37,869                                "
Austria,"6,081,287","22,542                                "
Portugal,"5,641,679","28,060                                "
Ukraine,"5,557,995","112,418                                "
Chile,"5,345,980","64,497                                "
Malaysia,"5,269,967","37,340                                "
Canada,"4,915,977","57,905                                "
Belgium,"4,856,459","34,376                                "
Israel,"4,841,772","12,707                                "
DPRK,"4,772,813",74                                
Thailand,"4,765,003","34,547                                "
Czechia,"4,756,789","43,482                                "
Peru,"4,568,225","222,161                                "
Switzerland,"4,449,493","14,452                                "
Philippines,"4,140,383","66,864                                "
South Africa,"4,076,463","102,595                                "
Romania,"3,521,283","68,822                                "
Denmark,"3,183,756","8,814                                "
Singapore,"2,994,295","1,933                                "
Hong Kong,"2,926,873","14,464                                "
Sweden,"2,752,056","27,142                                "
Serbia,"2,612,780","18,057                                "
New Zealand,"2,574,813","5,452                                "
Iraq,"2,465,545","25,375                                "
Hungary,"2,229,267","49,013                                "
Bangladesh,"2,047,199","29,482                                "
Slovakia,"1,876,826","21,212                                "
Georgia,"1,855,289","17,132                                "
Jordan,"1,746,997","14,122                                "
Ireland,"1,732,701","9,474                                "
Pakistan,"1,581,936","30,664                                "
Finland,"1,514,669","11,935                                "
Norway,"1,509,374","5,732                                "
Kazakhstan,"1,411,831","13,848                                "
Lithuania,"1,394,124","9,889                                "
Slovenia,"1,356,189","7,100                                "
Bulgaria,"1,338,621","38,731                                "
Croatia,"1,309,728","18,687                                "
Guatemala,"1,284,003","20,278                                "
Morocco,"1,278,512","16,301                                "
Lebanon,"1,243,838","10,952                                "
Costa Rica,"1,238,883","9,428                                "
Bolivia,"1,211,716","22,407                                "
Tunisia,"1,153,361","29,423                                "
Cuba,"1,115,210","8,530                                "
Ecuador,"1,070,188","36,043                                "
UAE,"1,067,030","2,349                                "
Panama,"1,058,933","8,688                                "
Uruguay,"1,041,111","7,664                                "
Mongolia,"1,011,451","2,284                                "
Nepal,"1,003,450","12,031                                "
Belarus,"994,037","7,118                                "
Latvia,"982,075","6,653                                "
Saudi Arabia,"841,469","9,646                                "
Azerbaijan,"834,371","10,379                                "
Paraguay,"831,154","20,132                                "
